"competition_name","category_name"
"Dominican Republic F2 Men Singles","ITF Men"
"Dominican Republic F2 Men Doubles","ITF Men"
"ITF Men Stuttgart-Stammheim, Germany Men Singles","ITF Men"
"ITF Men Stuttgart-Stammheim, Germany Men Doubles","ITF Men"
"ITF Men Cherkassy, Ukraine Men Singles","ITF Men"
"ITF Men Cherkassy, Ukraine Men Doubles","ITF Men"
"Great Britain F4 Men Singles","ITF Men"
"Great Britain F4 Men Doubles","ITF Men"
"ITF Men Vrsar, Croatia Men Singles","ITF Men"
"ITF Men Vrsar, Croatia Men Doubles","ITF Men"
"ITF Men Bytom, Poland Men Singles","ITF Men"
"ITF Men Bytom, Poland Men Doubles","ITF Men"
"ITF Men Frinton, Great Britain Men Singles","ITF Men"
"ITF Men Frinton, Great Britain Men Doubles","ITF Men"
"ITF Men Izmir, Turkey Men Singles","ITF Men"
"ITF Men Izmir, Turkey Men Doubles","ITF Men"
"ITF Men Vierumaki, Finland Men Singles","ITF Men"
"ITF Men Vierumaki, Finland Men Doubles","ITF Men"
"USA F24 Men Singles","ITF Men"
"USA F24 Men Doubles","ITF Men"
"ITF Men Leimen, Germany Men Singles","ITF Men"
"ITF Men Leimen, Germany Men Doubles","ITF Men"
"Turkiye F26 Men Singles","ITF Men"
"Turkiye F26 Men Doubles","ITF Men"
"ITF Men Solin, Croatia Men Singles","ITF Men"
"ITF Men Solin, Croatia Men Doubles","ITF Men"
"ITF Men Mansfield, USA Men Singles","ITF Men"
"ITF Men Mansfield, USA Men Doubles","ITF Men"
"ITF Spain F39 Men Singles","ITF Men"
"ITF Spain F39 Men Doubles","ITF Men"
"ITF Men Temuco, Chile Men Singles","ITF Men"
"ITF Men Temuco, Chile Men Doubles","ITF Men"
"ITF Men Osorno, Chile Men Singles","ITF Men"
"ITF Men Osorno, Chile Men Doubles","ITF Men"
"ITF Men Astana, Kazakhstan Men Singles","ITF Men"
"ITF Men Astana, Kazakhstan Men Doubles","ITF Men"
"ITF Men Wirral, Great Britain Men Singles","ITF Men"
"ITF Men Wirral, Great Britain Men Doubles","ITF Men"
"ITF Men Feucherolles, France Men Singles","ITF Men"
"ITF Men Feucherolles, France Men Doubles","ITF Men"
"ITF Men Guatemala City, Guatemala Men Singles","ITF Men"
"ITF Men Guatemala City, Guatemala Men Doubles","ITF Men"
"ITF Men Yuxi, China Men Singles","ITF Men"
"ITF Men Yuxi, China Men Doubles","ITF Men"
"ITF Men Itajai, Brazil Men Singles","ITF Men"
"ITF Men Itajai, Brazil Men Doubles","ITF Men"
"ITF Men Bath, Great Britain Men Singles","ITF Men"
"ITF Men Bath, Great Britain Men Doubles","ITF Men"
"ITF Men Saint-Raphael, France Men Singles","ITF Men"
"ITF Men Saint-Raphael, France Men Doubles","ITF Men"
"ITF Men Heraklion, Greece Men Singles","ITF Men"
"ITF Men Heraklion, Greece Men Doubles","ITF Men"
"ITF Men Kaohsiung, Chinese Taipei Men Singles","ITF Men"
"ITF Men Kaohsiung, Chinese Taipei Men Doubles","ITF Men"
"ITF Men Cordoba, Mexico Men Singles","ITF Men"
"ITF Men Cordoba, Mexico Men Doubles","ITF Men"
"ITF Men Madurai, India Men Singles","ITF Men"
"ITF Men Madurai, India Men Doubles","ITF Men"
"ITF Men Chennai, India Men Singles","ITF Men"
"ITF Men Chennai, India Men Doubles","ITF Men"
"ITF Men Villa Allende, Argentina Men Singles","ITF Men"
"ITF Men Villa Allende, Argentina Men Doubles","ITF Men"
"ITF Men Bangkok, Thailand Men Singles","ITF Men"
"ITF Men Bangkok, Thailand Men Doubles","ITF Men"
"ITF Men Mersin, Turkey Men Singles","ITF Men"
"ITF Men Mersin, Turkey Men Doubles","ITF Men"
"ITF Men Mandya, India Men Singles","ITF Men"
"ITF Men Mandya, India Men Doubles","ITF Men"
"ITF Men Rabat, Morocco Men Singles","ITF Men"
"ITF Men Rabat, Morocco Men Doubles","ITF Men"
"ITF Men Mysore, India Men Singles","ITF Men"
"ITF Men Mysore, India Men Doubles","ITF Men"
"ITF Men Maribor, Slovenia Men Singles","ITF Men"
"ITF Men Maribor, Slovenia Men Doubles","ITF Men"
"ITF Men Sapporo, Japan Men Singles","ITF Men"
"ITF Men Sapporo, Japan Men Doubles","ITF Men"
"ITF Men Coimbatore, India Men Singles","ITF Men"
"ITF Men Coimbatore, India Men Doubles","ITF Men"
"ITF Men Modena, Italy Men Singles","ITF Men"
"ITF Men Modena, Italy Men Doubles","ITF Men"
"ITF Men Felixstowe, Great Britain Men Singles","ITF Men"
"ITF Men Felixstowe, Great Britain Men Doubles","ITF Men"
"ITF Men Ostend, Belgium Men Singles","ITF Men"
"ITF Men Ostend, Belgium Men Doubles","ITF Men"
"ITF Men Friedberg, Germany Men Singles","ITF Men"
"ITF Men Friedberg, Germany Men Doubles","ITF Men"
"ITF Men Poertschach, Austria Men Singles","ITF Men"
"ITF Men Poertschach, Austria Men Doubles","ITF Men"
"ITF Men Winnipeg, Canada Men Singles","ITF Men"
"ITF Men Winnipeg, Canada Men Doubles","ITF Men"
"ITF Men Medellin, Colombia Men Singles","ITF Men"
"ITF Men Medellin, Colombia Men Doubles","ITF Men"
"ITF Men Kenn, Germany Men Singles","ITF Men"
"ITF Men Kenn, Germany Men Doubles","ITF Men"
"ITF Men St. Poelten, Austria Men Singles","ITF Men"
"ITF Men St. Poelten, Austria Men Doubles","ITF Men"
"ITF Men Alice Springs, Australia Men Singles","ITF Men"
"ITF Men Alice Springs, Australia Men Doubles","ITF Men"
"ITF Men La Rioja, Argentina Men Singles","ITF Men"
"ITF Men La Rioja, Argentina Men Doubles","ITF Men"
"ITF Men Manzanillo, Mexico Men Singles","ITF Men"
"ITF Men Manzanillo, Mexico Men Doubles","ITF Men"
"ITF Men Danderyd-Stockholm, Sweden Men Singles","ITF Men"
"ITF Men Danderyd-Stockholm, Sweden Men Doubles","ITF Men"
"ITF Men Costa Mesa, USA Men Singles","ITF Men"
"ITF Men Costa Mesa, USA Men Doubles","ITF Men"
"ITF Men Markham, Canada Men Singles","ITF Men"
"ITF Men Markham, Canada Men Doubles","ITF Men"
"ITF Men Hambach, Germany Men Singles","ITF Men"
"ITF Men Hambach, Germany Men Doubles","ITF Men"
"ITF Men Belem, Brazil Men Singles","ITF Men"
"ITF Men Belem, Brazil Men Doubles","ITF Men"
"ITF Men Irvine, USA Men Singles","ITF Men"
"ITF Men Irvine, USA Men Doubles","ITF Men"
"ITF Men Villavicencio, Colombia Men Singles","ITF Men"
"ITF Men Villavicencio, Colombia Men Doubles","ITF Men"
"ITF Men Annaba, Algeria Men Singles","ITF Men"
"ITF Men Annaba, Algeria Men Doubles","ITF Men"
"ITF Men Mumbai, India Men Singles","ITF Men"
"ITF Men Mumbai, India Men Doubles","ITF Men"
"ITF Men Santa Maria, Brazil Men Singles","ITF Men"
"ITF Men Santa Maria, Brazil Men Doubles","ITF Men"
"ITF Men Phnom Penh, Cambodia Men Singles","ITF Men"
"ITF Men Phnom Penh, Cambodia Men Doubles","ITF Men"
"ITF Men Porto Alegre, Brazil Men Singles","ITF Men"
"ITF Men Porto Alegre, Brazil Men Doubles","ITF Men"
"ITF Men Pereira, Colombia Men Singles","ITF Men"
"ITF Men Pereira, Colombia Men Doubles","ITF Men"
"ITF Men Bogota, Colombia Men Singles","ITF Men"
"ITF Men Bogota, Colombia Men Doubles","ITF Men"
"ITF Men Nishi Tama, Japan Men Singles","ITF Men"
"ITF Men Taverne, Switzerland Men Singles","ITF Men"
"ITF Men Taverne, Switzerland Men Doubles","ITF Men"
"ITF Men Sharm El Sheikh, Egypt Men Singles","ITF Men"
"ITF Men Sharm El Sheikh, Egypt Men Doubles","ITF Men"
"ITF Men Maracay, Venezuela Men Singles","ITF Men"
"ITF Men Maracay, Venezuela Men Doubles","ITF Men"
"ITF Men Maracaibo, Venezuela Men Singles","ITF Men"
"ITF Men Maracaibo, Venezuela Men Doubles","ITF Men"
"ITF Men Putian, China Men Singles","ITF Men"
"ITF Men Putian, China Men Doubles","ITF Men"
"ITF Men Coimbra, Portugal Men Singles","ITF Men"
"ITF Men Coimbra, Portugal Men Doubles","ITF Men"
"ITF Men Litija, Slovenia Men Singles","ITF Men"
"ITF Men Litija, Slovenia Men Doubles","ITF Men"
"ITF Men Stara Zagora, Bulgaria Men Singles","ITF Men"
"ITF Men Stara Zagora, Bulgaria Men Doubles","ITF Men"
"ITF Men Sibiu, Romania Men Singles","ITF Men"
"ITF Men Sibiu, Romania Men Doubles","ITF Men"
"ITF Men Busto Arsizio, Italy Men Singles","ITF Men"
"ITF Men Busto Arsizio, Italy Men Doubles","ITF Men"
"ITF Men Sabac, Serbia Men Singles","ITF Men"
"ITF Men Sabac, Serbia Men Doubles","ITF Men"
"ITF Men Seefeld, Austria Men Singles","ITF Men"
"ITF Men Seefeld, Austria Men Doubles","ITF Men"
"ITF Men Focsani, Romania Men Singles","ITF Men"
"ITF Men Focsani, Romania Men Doubles","ITF Men"
"ITF Men Tallinn, Estonia Men Singles","ITF Men"
"ITF Men Tallinn, Estonia Men Doubles","ITF Men"
"ITF Men Misiones, Argentina Men Singles","ITF Men"
"ITF Men Misiones, Argentina Men Doubles","ITF Men"
"ITF Men Sleza, Poland Men Singles","ITF Men"
"ITF Men Sleza, Poland Men Doubles","ITF Men"
"ITF Men Bejar, Spain Men Singles","ITF Men"
"ITF Men Bejar, Spain Men Doubles","ITF Men"
"ITF Men Geneva, Switzerland Men Singles","ITF Men"
"ITF Men Geneva, Switzerland Men Doubles","ITF Men"
"ITF Men Medias, Romania Men Singles","ITF Men"
"ITF Men Medias, Romania Men Doubles","ITF Men"
"ITF Men Este, Italy Men Singles","ITF Men"
"ITF Men Este, Italy Men Doubles","ITF Men"
"ITF Men Jupille-Sur-Meuse, Belgium Men Singles","ITF Men"
"ITF Men Jupille-Sur-Meuse, Belgium Men Doubles","ITF Men"
"ITF Men Libreville, Gabon Men Singles","ITF Men"
"ITF Men Libreville, Gabon Men Doubles","ITF Men"
"ITF Men Campos Do Jordao, Brazil Men Singles","ITF Men"
"ITF Men Campos Do Jordao, Brazil Men Doubles","ITF Men"
"ITF Men Manizales, Colombia Men Singles","ITF Men"
"ITF Men Manizales, Colombia Men Doubles","ITF Men"
"ITF Men Damme, Belgium Men Singles","ITF Men"
"ITF Men Damme, Belgium Men Doubles","ITF Men"
"ITF Men Lausanne, Switzerland Men Singles","ITF Men"
"ITF Men Lausanne, Switzerland Men Doubles","ITF Men"
"ITF Men Quito, Ecuador Men Singles","ITF Men"
"ITF Men Quito, Ecuador Men Doubles","ITF Men"
"ITF Men Nis, Serbia Men Singles","ITF Men"
"ITF Men Nis, Serbia Men Doubles","ITF Men"
"ITF Men Sokobanja, Serbia Men Singles","ITF Men"
"ITF Men Sokobanja, Serbia Men Doubles","ITF Men"
"ITF Men Cochabamba, Bolivia Men Singles","ITF Men"
"ITF Men Cochabamba, Bolivia Men Doubles","ITF Men"
"ITF Men Sant Cugat, Spain Men Singles","ITF Men"
"ITF Men Sant Cugat, Spain Men Doubles","ITF Men"
"ITF Men Nicosia, Cyprus Men Singles","ITF Men"
"ITF Men Nicosia, Cyprus Men Doubles","ITF Men"
"ITF Men Popayan, Colombia Men Singles","ITF Men"
"ITF Men Popayan, Colombia Men Doubles","ITF Men"
"ITF Men Bol, Croatia Men Singles","ITF Men"
"ITF Men Bol, Croatia Men Doubles","ITF Men"
"ITF Men Raipur, India Men Singles","ITF Men"
"ITF Men Raipur, India Men Doubles","ITF Men"
"ITF Men Larnaca, Cyprus Men Singles","ITF Men"
"ITF Men Larnaca, Cyprus Men Doubles","ITF Men"
"ITF Men Kish, Iran Men Singles","ITF Men"
"ITF Men Kish, Iran Men Doubles","ITF Men"
"ITF Men Bhimavaram, India Men Singles","ITF Men"
"ITF Men Bhimavaram, India Men Doubles","ITF Men"
"ITF Men Manila, Philippines Men Singles","ITF Men"
"ITF Men Manila, Philippines Men Doubles","ITF Men"
"ITF Men Melbourne, Australia Men Singles","ITF Men"
"ITF Men Melbourne, Australia Men Doubles","ITF Men"
"ITF Men Oran, Algeria Men Singles","ITF Men"
"ITF Men Oran, Algeria Men Doubles","ITF Men"
"ITF Men Algiers, Algeria Men Singles","ITF Men"
"ITF Men Algiers, Algeria Men Doubles","ITF Men"
"ITF Men Karshi, Uzbekistan Men Doubles","ITF Men"
"ITF Men Queretaro, Mexico Men Singles","ITF Men"
"ITF Men Queretaro, Mexico Men Doubles","ITF Men"
"ITF Men Galati, Romania Men Singles","ITF Men"
"ITF Men Galati, Romania Men Doubles","ITF Men"
"ITF Men Chaco, Argentina Men Singles","ITF Men"
"ITF Men Chaco, Argentina Men Doubles","ITF Men"
"ITF Men Tehran, Iran Men Singles","ITF Men"
"ITF Men Tehran, Iran Men Doubles","ITF Men"
"ITF Men Vsevolozhsk, Russia Men Singles","ITF Men"
"ITF Men Vsevolozhsk, Russia Men Doubles","ITF Men"
"ITF Men Wollongong, Australia Men Singles","ITF Men"
"ITF Men Wollongong, Australia Men Doubles","ITF Men"
"ITF Men Gwalior, India Men Singles","ITF Men"
"ITF Men Gwalior, India Men Doubles","ITF Men"
"ITF Men Santiago de los Caballeros, Dominican Republic Men Singles","ITF Men"
"ITF Men Santiago de los Caballeros, Dominican Republic Men Doubles","ITF Men"
"ITF Men Jassowal, India Men Singles","ITF Men"
"ITF Men Jassowal, India Men Doubles","ITF Men"
"ITF Men Sarajevo, Bosnia/Herzegovina Men Singles","ITF Men"
"ITF Men Sarajevo, Bosnia/Herzegovina Men Doubles","ITF Men"
"ITF Men Erzurum, Turkey Men Singles","ITF Men"
"ITF Men Erzurum, Turkey Men Doubles","ITF Men"
"ITF Men Duino Aurisina, Italy Men Singles","ITF Men"
"ITF Men Duino Aurisina, Italy Men Doubles","ITF Men"
"ITF Israel F14, Men Singles","ITF Men"
"ITF Israel F14, Men Doubles","ITF Men"
"ITF Men Middelkerke, Belgium Men Singles","ITF Men"
"ITF Men Middelkerke, Belgium Men Doubles","ITF Men"
"ITF Men Rancagua, Chile Men Singles","ITF Men"
"ITF Men Rancagua, Chile Men Doubles","ITF Men"
"ITF Men Ismaning, Germany Men Singles","ITF Men"
"ITF Men Ismaning, Germany Men Doubles","ITF Men"
"ITF Men Valledupar, Colombia Men Singles","ITF Men"
"ITF Men Valledupar, Colombia Men Doubles","ITF Men"
"ITF Men Margarita Island, Venezuela Men Singles","ITF Men"
"ITF Men Margarita Island, Venezuela Men Doubles","ITF Men"
"ITF Men La Libertad, El Salvador Men Singles","ITF Men"
"ITF Men La Libertad, El Salvador Men Doubles","ITF Men"
"ITF Men Limassol, Cyprus Men Singles","ITF Men"
"ITF Men Limassol, Cyprus Men Doubles","ITF Men"
"ITF Men San Pedro Sula, Honduras Men Singles","ITF Men"
"ITF Men San Pedro Sula, Honduras Men Doubles","ITF Men"
"ITF Men Santo Domingo Este, Dominican Republic Men Singles","ITF Men"
"ITF Men Santo Domingo Este, Dominican Republic Men Doubles","ITF Men"
"ITF Men Puerto Montt, Chile Men Singles","ITF Men"
"ITF Men Puerto Montt, Chile Men Doubles","ITF Men"
"ITF Men Baku, Azerbaijan Men Singles","ITF Men"
"ITF Men Baku, Azerbaijan Men Doubles","ITF Men"
"ITF Switzerland F1, Men Doubles","ITF Men"
"ITF Italy F3, Men Singles","ITF Men"
"ITF Italy F3, Men Doubles","ITF Men"
"ITF Morocco F5, Men Singles","ITF Men"
"ITF Morocco F5, Men Doubles","ITF Men"
"ITF France F7, Men Singles","ITF Men"
"ITF France F7, Men Doubles","ITF Men"
"ITF Croatia F4, Men Singles","ITF Men"
"ITF Croatia F4, Men Doubles","ITF Men"
"ITF Sweden F5, Men Singles","ITF Men"
"ITF Sweden F5, Men Doubles","ITF Men"
"ITF Mozambique F1, Men Singles","ITF Men"
"ITF Mozambique F1, Men Doubles","ITF Men"
"ITF USA F12, Men Singles","ITF Men"
"ITF USA F12, Men Doubles","ITF Men"
"ITF Brazil F9, Men Singles","ITF Men"
"ITF Brazil F9, Men Doubles","ITF Men"
"ITF Mexico F22, Men Singles","ITF Men"
"ITF Mexico F22, Men Doubles","ITF Men"
"ITF Portugal F8, Men Singles","ITF Men"
"ITF Portugal F8, Men Doubles","ITF Men"
"ITF Bulgaria F1, Men Singles","ITF Men"
"ITF Bulgaria F1, Men Doubles","ITF Men"
"ITF Italy F14, Men Singles","ITF Men"
"ITF Italy F14, Men Doubles","ITF Men"
"ITF Portugal F9, Men Singles","ITF Men"
"ITF Portugal F9, Men Doubles","ITF Men"
"ITF Men Ruse, Bulgaria Men Singles","ITF Men"
"ITF Men Ruse, Bulgaria Men Doubles","ITF Men"
"ITF Israel F10, Men Singles","ITF Men"
"ITF Israel F10, Men Doubles","ITF Men"
"ITF Japan F7, Men Singles","ITF Men"
"ITF Japan F7, Men Doubles","ITF Men"
"ITF Romania F5, Men Singles","ITF Men"
"ITF Romania F5, Men Doubles","ITF Men"
"ITF Spain F16, Men Singles","ITF Men"
"ITF Spain F16, Men Doubles","ITF Men"
"ITF Poland F3, Men Singles","ITF Men"
"ITF Poland F3, Men Doubles","ITF Men"
"ITF Men Buzau, Romania Men Singles","ITF Men"
"ITF Men Buzau, Romania Men Doubles","ITF Men"
"ITF Poland F4, Men Singles","ITF Men"
"ITF Poland F4, Men Doubles","ITF Men"
"ITF Turkiye F25, Men Singles","ITF Men"
"ITF Turkiye F25, Men Doubles","ITF Men"
"ITF Men Skopje, FYR Macedonia Men Singles","ITF Men"
"ITF Men Skopje, FYR Macedonia Men Doubles","ITF Men"
"ITF Korea F2, Men Singles","ITF Men"
"ITF Korea F2, Men Doubles","ITF Men"
"ITF Germany F4, Men Singles","ITF Men"
"ITF Germany F4, Men Doubles","ITF Men"
"ITF Brazil F5, Men Singles","ITF Men"
"ITF Brazil F5, Men Doubles","ITF Men"
"ITF Italy F20, Men Singles","ITF Men"
"ITF Italy F20, Men Doubles","ITF Men"
"ITF Germany F5, Men Singles","ITF Men"
"ITF Germany F5, Men Doubles","ITF Men"
"ITF Men Piracicaba, Brazil Men Singles","ITF Men"
"ITF Men Piracicaba, Brazil Men Doubles","ITF Men"
"ITF Italy F21, Men Singles","ITF Men"
"ITF Italy F21, Men Doubles","ITF Men"
"ITF Men Thu Dau Mot City, Vietnam Men Singles","ITF Men"
"ITF Men Thu Dau Mot City, Vietnam Men Doubles","ITF Men"
"ITF Morocco F4, Men Singles","ITF Men"
"ITF Morocco F4, Men Doubles","ITF Men"
"ITF Italy F24, Men Singles","ITF Men"
"ITF Italy F24, Men Doubles","ITF Men"
"ITF Morocco F6, Men Singles","ITF Men"
"ITF Morocco F6, Men Doubles","ITF Men"
"ITF Finland F1, Men Singles","ITF Men"
"ITF Finland F1, Men Doubles","ITF Men"
"ITF Switzerland F3, Men Singles","ITF Men"
"ITF Switzerland F3, Men Doubles","ITF Men"
"ITF Indonesia F2, Men Singles","ITF Men"
"ITF Indonesia F2, Men Doubles","ITF Men"
"ITF Men St. Petersburg, Russia Men Singles","ITF Men"
"ITF Men St. Petersburg, Russia Men Doubles","ITF Men"
"ITF Spain F28, Men Singles","ITF Men"
"ITF Spain F28, Men Doubles","ITF Men"
"ITF Netherlands F7, Men Singles","ITF Men"
"ITF Netherlands F7, Men Doubles","ITF Men"
"ITF Italy F28, Men Singles","ITF Men"
"ITF Italy F28, Men Doubles","ITF Men"
"ITF Hungary F5, Men Singles","ITF Men"
"ITF Hungary F5, Men Doubles","ITF Men"
"ITF Hungary F6, Men Singles","ITF Men"
"ITF Hungary F6, Men Doubles","ITF Men"
"ITF Men Niagara, Canada Men Singles","ITF Men"
"ITF Men Niagara, Canada Men Doubles","ITF Men"
"ITF USA F30, Men Singles","ITF Men"
"ITF USA F30, Men Doubles","ITF Men"
"ITF Men Kiev, Ukraine Men Singles","ITF Men"
"ITF Men Kiev, Ukraine Men Doubles","ITF Men"
"ITF Hungary F8, Men Singles","ITF Men"
"ITF Hungary F8, Men Doubles","ITF Men"
"ITF Men Neiva, Colombia Men Singles","ITF Men"
"ITF Men Neiva, Colombia Men Doubles","ITF Men"
"ITF Men Vallduxo, Spain Men Singles","ITF Men"
"ITF Men Vallduxo, Spain Men Doubles","ITF Men"
"ITF Men Salinas, Ecuador Men Singles","ITF Men"
"ITF Men Salinas, Ecuador Men Doubles","ITF Men"
"ITF USA F34, Men Singles","ITF Men"
"ITF USA F34, Men Doubles","ITF Men"
"ITF Men Latina, Italy Men Singles","ITF Men"
"ITF Men Latina, Italy Men Doubles","ITF Men"
"ITF Men Almeria, Spain Men Singles","ITF Men"
"ITF Men Almeria, Spain Men Doubles","ITF Men"
"ITF Great Britain F6, Men Singles","ITF Men"
"ITF Great Britain F6, Men Doubles","ITF Men"
"ITF Men Blacktown, Australia Men Singles","ITF Men"
"ITF Men Blacktown, Australia Men Doubles","ITF Men"
"ITF Men San Salvador, El Salvador Men Singles","ITF Men"
"ITF Men San Salvador, El Salvador Men Doubles","ITF Men"
"ITF Czech Republic F10, Men Singles","ITF Men"
"ITF Czech Republic F10, Men Doubles","ITF Men"
"ITF Men Talca, Chile Men Singles","ITF Men"
"ITF Men Talca, Chile Men Doubles","ITF Men"
"ITF Czech Republic F12, Men Singles","ITF Men"
"ITF Czech Republic F12, Men Doubles","ITF Men"
